ID,Name,Description,Contributor,Citation,Language_ID,Contribution_Type,Creator,Year,Contribution_Date,License,Copyright,URL,Source
arifamaminiafia,Bible in Arifama-Miniafia,"The Bible, translated into Arifama-Miniafia.",ebible.org,anonymous (2009): TUR GEWASIN O BAIBASIT BOUBUN [The Bible in Arifama-Miniafia]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/aai_html.zip,,Primary texts,anonymous,2009,2022-04-14,CCBYNCND-4.0,Copyright © 2009 anonymous,https://ebible.org/Scriptures/aai_html.zip,CLD-Bible-arifamaminiafia
ankave,Bible in Ankave,"The Bible, translated into Ankave.",ebible.org,Wycliffe Bible Translators (1990): Xwɨyí̵á Gorɨxoyá Sɨŋí̵pɨrɨnɨ [The Bible in Ankave]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/aak_html.zip,,Primary texts,Wycliffe Bible Translators,1990,2012-10-03,CCBYNCND-4.0,"Copyright © 1990 Wycliffe Bible Translators, Inc.",https://ebible.org/Scriptures/aak_html.zip,CLD-Bible-ankave
abau,Bible in Abau,"The Bible, translated into Abau.",ebible.org,Wycliffe Bible Translators (2006): God so Sokior-ok Iwon [The Bible in Abau]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/aau_html.zip,,Primary texts,Wycliffe Bible Translators,2006,2013-01-03,CCBYNCND-4.0,"Copyright © 2006 Wycliffe Bible Translators, Inc.",https://ebible.org/Scriptures/aau_html.zip,CLD-Bible-abau
amarasi,Bible in Amarasi,"The Bible, translated into Amarasi.",ebible.org,Wycliffe Bible Translators (1999): Uisneno In Kabin ma Prenat: Rais Manba'an Fe'u nok Reta' Ahun-hunut [The Bible in Amarasi]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/aaz_html.zip,,Primary texts,Wycliffe Bible Translators,1999,2022-03-11,CCBYND-4.0,"Copyright © 1999-2014 Unit Bahasa dan Budaya, Kupang NTT, Indonesia",https://ebible.org/Scriptures/aaz_html.zip,CLD-Bible-amarasi
abenlenayta,Bible in Abenlen Ayta,"The Bible, translated into Abenlen Ayta.",ebible.org,"Wycliffe Bible Translators, Inc. (2020): Ayta Abellen [The Bible in Abenlen Ayta]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/abp_html.zip",,Primary texts,"Wycliffe Bible Translators, Inc.",2020,2020-11-11,All rights reserved,"Copyright © 2020 Wycliffe Bible Translators, Inc.",https://ebible.org/Scriptures/abp_html.zip,CLD-Bible-abenlenayta
ambulasmaprik,Bible in Ambulas,"The Bible, translated into Ambulas.",ebible.org,Wycliffe Bible Translators (1983): Gotna Kudi [The Bible in Ambulas]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/abt-maprik_html.zip,,Primary texts,Wycliffe Bible Translators,1983,2013-01-04,CCBYNCND-4.0,"Copyright © 1983 Wycliffe Bible Translators, Inc.",https://ebible.org/Scriptures/abt-maprik_html.zip,CLD-Bible-ambulasmaprik
ambulaswosera,Bible in Ambulas,"The Bible, translated into Ambulas.",ebible.org,Wycliffe Bible Translators (1996): Gotna Kundi [The Bible in Ambulas]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/abt-wosera_html.zip,,Primary texts,Wycliffe Bible Translators,1996,2013-01-07,CCBYNCND-4.0,"Copyright © 1996 Wycliffe Bible Translators, Inc.",https://ebible.org/Scriptures/abt-wosera_html.zip,CLD-Bible-ambulaswosera
inabaknon,Bible in Inabaknon,"The Bible, translated into Inabaknon.",ebible.org,"Wycliffe Bible Translators, Inc. (1996): I Baha'o Kasuratan [The Bible in Inabaknon]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/abx_html.zip",,Primary texts,"Wycliffe Bible Translators, Inc.",1996,2014-08-06,CCBYNCND-4.0,"Copyright © 1996 Wycliffe Bible Translators, Inc.",https://ebible.org/Scriptures/abx_html.zip,CLD-Bible-inabaknon
anemewake,Bible in Aneme Wake,"The Bible, translated into Aneme Wake.",ebible.org,Wycliffe Bible Translators (1988): GODINU IRAU WAKE [The Bible in Aneme Wake]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/aby_html.zip,,Primary texts,Wycliffe Bible Translators,1988,2013-01-07,CCBYNCND-4.0,"Copyright © 1988 Wycliffe Bible Translators, Inc.",https://ebible.org/Scriptures/aby_html.zip,CLD-Bible-anemewake
achagua,Bible in Achagua,"The Bible, translated into Achagua.",ebible.org,"Wycliffe Bible Translators, Inc. (2013): Liáꞌa Chuánshi Dios Shínaa [The Bible in Achagua]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/aca_html.zip",,Primary texts,"Wycliffe Bible Translators, Inc.",2013,2022-03-11,All rights reserved,"Copyright © 2013 Wycliffe Bible Translators, Inc.",https://ebible.org/Scriptures/aca_html.zip,CLD-Bible-achagua
gikyode,Bible in Gikyode,"The Bible, translated into Gikyode.",ebible.org,"Wycliffe Bible Translators, Inc. (2020): GɛnÞ PobÞrÞ, Gɛbono Wurubuaarɛ Gi Yɛgɛ Mɔ-rɛ Anyamesɛ Mɛ Wɔra Mɔ [The Bible in Gikyode]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/acd_html.zip",,Primary texts,"Wycliffe Bible Translators, Inc.",2020,2020-11-17,All rights reserved,"Copyright © 2020 Wycliffe Bible Translators, Inc.",https://ebible.org/Scriptures/acd_html.zip,CLD-Bible-gikyode
saintluciancreolefrenchnt,Bible in Saint Lucian Creole French,"The Bible, translated into Saint Lucian Creole French.",ebible.org,"Wycliffe Bible Translators, Inc. (1999): Tèstèman nèf-la: Épi an posyòn an liv samz-la [The Bible in Saint Lucian Creole French]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/acfNT_html.zip",,Primary texts,"Wycliffe Bible Translators, Inc.",1999,2014-04-30,CCBYNCND-4.0,"Copyright © 1999 Wycliffe Bible Translators, Inc.",https://ebible.org/Scriptures/acfNT_html.zip,CLD-Bible-saintluciancreolefrenchnt
achiacc,Bible in Achi,"The Bible, translated into Achi.",ebible.org,"Wycliffe Bible Translators, Inc. (2009): I 'utz laj tzij re i dios [The Bible in Achi]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/acr-acc_html.zip",,Primary texts,"Wycliffe Bible Translators, Inc.",2009,2013-01-05,CCBYNCND-4.0,"Copyright © 2009 Wycliffe Bible Translators, Inc.",https://ebible.org/Scriptures/acr-acc_html.zip,CLD-Bible-achiacc
achinnt,Bible in Achi,"The Bible, translated into Achi.",ebible.org,"Wycliffe Bible Translators, Inc. (2009): Ri utzilaj tzij re ri kanimajawal Jesucristo [The Bible in Achi]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/acrNNT_html.zip",,Primary texts,"Wycliffe Bible Translators, Inc.",2009,2014-04-18,CCBYND-4.0,"Copyright © 2009 Wycliffe Bible Translators, Inc.",https://ebible.org/Scriptures/acrNNT_html.zip,CLD-Bible-achinnt
achitnt,Bible in Achi,"The Bible, translated into Achi.",ebible.org,"Wycliffe Bible Translators, Inc. (2009): Ri utzilaj tzij re ri kanimajawal Jesucristo [The Bible in Achi]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/acrTNT_html.zip",,Primary texts,"Wycliffe Bible Translators, Inc.",2009,2014-04-21,CCBYND-4.0,"Copyright © 2009 Wycliffe Bible Translators, Inc.",https://ebible.org/Scriptures/acrTNT_html.zip,CLD-Bible-achitnt
achuarshiwiarnt,Bible in Achuar-Shiwiar,"The Bible, translated into Achuar-Shiwiar.",ebible.org,"Wycliffe Bible Translators, Inc. (2019): Achuar Peru OT Por and NT 2019 4th edition [The Bible in Achuar-Shiwiar]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/acuNT_html.zip",,Primary texts,"Wycliffe Bible Translators, Inc.",2019,2019-07-01,CCBYNCND-4.0,"Copyright © 2019-07-01 Wycliffe Bible Translators, Inc.",https://ebible.org/Scriptures/acuNT_html.zip,CLD-Bible-achuarshiwiarnt
adioukrou,Bible in Adioukrou,"The Bible, translated into Adioukrou.",ebible.org,"Wycliffe Bible Translators, Inc. (1998): Amani Owr [The Bible in Adioukrou]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/adj_html.zip",,Primary texts,"Wycliffe Bible Translators, Inc.",1998,2020-11-10,All rights reserved,"Copyright © 1998 Wycliffe Bible Translators, Inc.",https://ebible.org/Scriptures/adj_html.zip,CLD-Bible-adioukrou
