ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,_col.None
Bhattiyali,Bhattiyali,,,,bhat1263,,
Bissa,Bissa,,,,biss1248,,
Biangai,Biangai,,,,bian1252,,
Bimoba,Bimoba,,,,bimo1239,,
SouthernBirifor,Southern Birifor,,,,sout2790,,
Barok-Usen,Barok,,,,baro1253,,
Banjar,Banjar,,,,banj1239,,
Fanamaket,Fanamaket,,,,make1251,,
Binumarien,Binumarien,,,,binu1245,,
Nangnda,Nangnda,,,,bedj1245,,
Baruga-Tafota,Baruga,,,,baru1269,,
TalaandigBinukid,Talaandig-Binukid,,,,binu1244,,
Baki,Baki,,,,baki1244,,
Bakairi,Bakairí,,,,baka1277,,
Baikeno,Baikeno,,,,baik1238,,
Siksika,Siksika,,,,siks1238,,
Blang,Blang,,,,blan1242,,
TaiDam,Tai Dam,,,,taid1247,,
Balangao,Balangao,,,,bala1310,,
MagIndiAyta,Mag-Indi Ayta,,,,magi1241,,
Balantak,Balantak,,,,bala1315,,
Kein,Kein,,,,kein1239,,
Ghayavi,Ghayavi,,,,ghay1237,,
Bambalang,Bambalang,,,,bamb1265,,
Muinane,Muinane,,,,muin1242,,
BurumMindik,Burum-Mindik,,,,buru1306,,
Bantoanon,Bantoanon,,,,bant1288,,
Bola,Bola,,,,bola1250,,
Bora,Bora,,,,bora1263,,
Tibetan-Central,Tibetan,,,,tibe1272,,
Tibetan-ModernLiterary,Tibetan,,,,tibe1272,,
Anjam,Anjam,,,,anja1238,,
Bine,Bine,,,,bine1240,,
Bororo,Bororo,,,,boro1282,,
Tuwuli,Tuwuli,,,,tuwu1238,,
Buamu,Buamu,,,,buam1238,,
KoronadalBlaan,Koronadal Blaan,,,,koro1310,,
SaranganiBlaan,Sarangani Blaan,,,,sara1326,,
PalyaBareli,Palya Bareli,,,,paly1238,,
BokoBenin,Boko (Benin),,,,boko1266,,
Bandial,Bandial,,,,band1340,,
Busa,Busa,,,,busa1253,,
Brao,Brao,,,,lave1249,,
Breton,Breton,,,,bret1244,,
EasternBru,Eastern Bru,,,,east2332,,
BassariTanda,Bassari-Tanda,,,,bass1258,,
Bangwinji,Bangwinji,,,,bang1348,,
BarasanaEduria,Barasana-Eduria,,,,bara1380,,
BagaSitemu,Baga Sitemu,,,,baga1272,,
Akoose,Akoose,,,,akoo1248,,
Bugawac,Bugawac,,,,buga1250,,
Bokobaru,Bokobaru,,,,boko1267,,
Baeggu,Baeggu,,,,baeg1237,,
Burarra,Burarra,,,,bura1267,,
BoroEthiopia,Boro (Ethiopia),,,,boro1277,,
BuliGhana,Buli (Ghana),,,,buli1254,,
Buhutu,Buhutu,,,,buhu1237,,
Baruya-Wagamwa,Baruya,,,,baru1267,,
Baruya,Baruya,,,,baru1267,,
Qaqet,Qaqet,,,,qaqe1238,,
Bribri,Bribri,,,,brib1243,,
MaposBuang-CentralMapos,Mapos Buang,,,,mapo1242,,
Bisu,Bisu,,,,bisu1244,,
Chorti,Chortí,,,,chor1273,,
Garifuna,Garifuna,,,,gari1256,,
Chuj-Ixtatan,Chuj,,,,chuj1250,,
SouthernCarrier,Southern Carrier,,,,sout2958,,
Kaqchikel-Central,Kaqchikel,,,,kaqc1270,,
Kaqchikel-Eastern,Kaqchikel,,,,kaqc1270,,
Kaqchikel-SurdeSacatepequez,Kaqchikel,,,,kaqc1270,,
Kaqchikel-SantaMariadeJesus,Kaqchikel,,,,kaqc1270,,
Kaqchikel-Western,Kaqchikel,,,,kaqc1270,,
Kaqchikel-YepocapaSouthWestern,Kaqchikel,,,,kaqc1270,,
Kaqchikel-SouthCentral,Kaqchikel,,,,kaqc1270,,
Cemuhi,Cemuhî,,,,cemu1238,,
Chacobo,Chácobo,,,,chac1251,,
Chipaya,Chipaya,,,,chip1262,,
GalibiCarib,Galibi Carib,,,,gali1262,,
Cavinena,Cavineña,,,,cavi1250,,
LomerianoIgnacianoChiquitano,Lomeriano-Ignaciano Chiquitano,,,,chiq1248,,
Carapana,Carapana,,,,cara1272,,
Chapalaa,Cha'palaa,,,,chac1249,,
Chavacano,Chavacano,,,,chav1241,,
CashiboCacataibo,Cashibo-Cacataibo,,,,cash1251,,
Cashinahua,Cashinahua,,,,cash1254,,
Shawi,Shawi,,,,chay1248,,
CandoshiShapra,Candoshi-Shapra,,,,cand1248,,
Kakua,Kakua,,,,cacu1241,,
ComaltepecChinantec,Comaltepec Chinantec,,,,coma1246,,
Cebuano,Cebuano,,,,cebu1242,,
EasternKhumiChin-AsaangKhongca,Eastern Khumi Chin,,,,east2779,,
Czech,Czech,,,,czec1258,,
Kagayanen,Kagayanen,,,,kaga1256,,
Chamorro,Chamorro,,,,cham1312,,
HighlandOaxacaChontal,Highland Oaxaca Chontal,,,,high1242,,
TabascoChontal,Tabasco Chontal,,,,taba1266,,
Chuukese,Chuukese,,,,chuu1238,,
QuiotepecChinantec,Quiotepec Chinantec,,,,quio1240,,
OzumacinChinantec,Ozumacín Chinantec,,,,ozum1235,,
Chru,Chru,,,,chru1239,,
AsheninkaPajonal,Ashéninka Pajonal,,,,ashe1273,,
Chuave,Chuave,,,,chua1250,,
CentralKurdish,Central Kurdish,,,,cent1972,,
Anufo,Anufo,,,,anuf1239,,
LealaoChinantec,Lealao Chinantec,,,,leal1235,,
Caluyanun,Caluyanun,,,,calu1238,,
Cerma,Cerma,,,,cerm1238,,
MandarinChinese-Mandarinsimplifiedscript,Mandarin Chinese,,,,mand1415,,
MandarinChinese-Mandarintraditionalscript,Mandarin Chinese,,,,mand1415,,
MandarinChinese,Mandarin Chinese,,,,mand1415,,
CentralMnong,Central Mnong,,,,cent1992,,
Ashaninka,Asháninka,,,,asha1243,,
LalanaChinantec,Lalana Chinantec,,,,lala1270,,
TepetotutlaChinantec,Tepetotutla Chinantec,,,,tepe1279,,
Koreguaje,Koreguaje,,,,kore1283,,
Tsafiki,Tsafiki,,,,colo1256,,
SantaTeresaCora,Santa Teresa Cora,,,,sant1424,,
Cofan,Cofán,,,,cofa1242,,
Coptic-Bohairic,Coptic,,,,copt1239,,
Coptic,Coptic,,,,copt1239,,
Coptic-Sahidic,Coptic,,,,copt1239,,
Caquinte,Caquinte,,,,caqu1242,,
Wamey,Wamey,,,,wame1240,,
PalantlaChinantec,Palantla Chinantec,,,,pala1351,,
UcayaliYuruaAsheninka,Ucayali-Yurúa Ashéninka,,,,ucay1237,,
AjyininkaApurucayali,Ajyíninka Apurucayali,,,,ajyi1238,,
PichisAsheninka,Pichis Ashéninka,,,,pich1237,,
SouthUcayaliAsheninka,South Ucayali Ashéninka,,,,sout3127,,
SouthernEastCree,Southern East Cree,,,,sout2978,,
NorthernEastCree,Northern East Cree,,,,nort1552,,
ElNayarCora,El Nayar Cora,,,,elna1235,,
CentralCarrier,Central Carrier,,,,carr1249,,
SochiapamChinantec,Sochiapam Chinantec,,,,soch1239,,
SizangChin,Sizang Chin,,,,siyi1240,,
TataltepecChatino,Tataltepec Chatino,,,,tata1258,,
ThaipumChin,Thaipum Chin,,,,thai1262,,
WesternHighlandChatino,Western Highland Chatino,,,,west2644,,
Chol,Chol,,,,chol1282,,
Chol-Tila,Chol,,,,chol1282,,
Cubeo,Cubeo,,,,cube1242,,
UsilaChinantec,Usila Chinantec,,,,usil1237,,
Cuiba,Cuiba,,,,cuib1242,,
SanBlasKuna,San Blas Kuna,,,,sanb1242,,
Culina,Culina,,,,culi1244,,
TeutilaCuicatec,Teutila Cuicatec,,,,teut1235,,
TepeuxilaCuicatec,Tepeuxila Cuicatec,,,,tepe1280,,
Kwere,Kwere,,,,kwer1261,,
NopalaChatino,Nopala Chatino,,,,nopa1235,,
Dangaleat,Dangaleat,,,,dang1274,,
Marik,Marik,,,,mari1428,,
Dan-Eastern,Dan,,,,dann1241,,
Gwahatike,Gwahatike,,,,gwah1244,,
Danish,Danish,,,,dani1285,,
DaaiChin,Daai Chin,,,,daai1236,,
Dedua,Dedua,,,,dedu1240,,
Desano,Desano,,,,desa1247,,
German,German,,,,stan1295,,
CasiguranNagtipunanAgta,Casiguran-Nagtipunan Agta,,,,casi1235,,
Dogrib,Dogrib,,,,dogr1252,,
Daga,Daga,,,,daga1275,,
Dhangu,Dhangu,,,,dhan1270,,
Dhangu-DhuwaDhaumi,Dhangu,,,,dhan1270,,
Didinga,Didinga,,,,didi1258,,
Dieri,Dieri,,,,dier1241,,
Digo,Digo,,,,digo1243,,
SouthwesternDinka,Southwestern Dinka,,,,sout2832,,
Dhivehi,Dhivehi,,,,dhiv1236,,
Djinang,Djinang,,,,djin1253,,
Djeebbana,Djeebbana,,,,djee1236,,
Aukan,Aukan,,,,ndyu1242,,
Djambarrpuyngu,Djambarrpuyngu,,,,djam1256,,
NuclearDan-Western,Nuclear Dan,,,,nucl1770,,
Dobu,Dobu,,,,dobu1241,,
Lukpa,Lukpa,,,,lukp1238,,
TokaLeyaDombe,Toka-Leya-Dombe,,,,domb1246,,
Desiya,Desiya,,,,desi1235,,
HunSaare,Hun-Saare,,,,huns1239,,
UmirayDumagetAgta,Umiray Dumaget Agta,,,,umir1236,,
DupaninanAgta,Dupaninan Agta,,,,dupa1235,,
Dawro,Dawro,,,,dawr1236,,
NuclearDhuwal-Liyagawumirr,Nuclear Dhuwal,,,,nucl1333,,
Dawawa,Dawawa,,,,dawa1242,,
Dhuwaya,Dhuwaya,,,,dhuw1250,,
DjiminiSenoufo,Djimini Senoufo,,,,djim1235,,
Dyula,Dyula,,,,dyul1238,,
EasternBontok,Eastern Bontok,,,,east2881,,
Estonian,Estonian,,,,esto1258,,
Koti,Koti,,,,koti1238,,
MussauEmira,Mussau-Emira,,,,muss1246,,
NorthernEmbera,Northern Emberá,,,,nort2972,,
Apali,Apali,,,,apal1256,,
English-archaicBritish,English,,,,stan1293,,
English-ArchaicAmerican,English,,,,stan1293,,
English-American,English,,,,stan1293,,
English-British,English,,,,stan1293,,
English-simpleBritish,English,,,,stan1293,,
English-archaicAmerican,English,,,,stan1293,,
English-AustralianAboriginal,English,,,,stan1293,,
English,English,,,,stan1293,,
English-Middle,English,,,,stan1293,,
English-Old,English,,,,stan1293,,
English-Mixed,English,,,,stan1293,,
English-AmericanMessianic,English,,,,stan1293,,
English-BritishMessianic,English,,,,stan1293,,
English-Archaic,English,,,,stan1293,,
Enga-KainaCentral,Enga,,,,enga1252,,
Esperanto,Esperanto,,,,espe1235,,
Ogea,Ogea,,,,ogea1238,,
EseEjja,Ese Ejja,,,,esee1248,,
AheriGondi,Aheri Gondi,,,,aher1237,,
SewardAlaskaInupiatun,Seward Alaska Inupiatun,,,,nort2945,,
Edolo,Edolo,,,,edol1239,,
Ewe,Ewe,,,,ewee1241,,
Fasu,Fasu,,,,fasu1242,,
WagiPapuaNewGuinea,Wagi (Papua New Guinea),,,,wagi1249,,
Faiwol,Faiwol,,,,faiw1243,,
Fataleka,Fataleka,,,,fata1245,,
MaasinaFulfulde,Maasina Fulfulde,,,,maas1239,,
Fuliiru,Fuliiru,,,,fuli1240,,
Fore,Fore,,,,fore1270,,
French,French,,,,stan1290,,
Fordata,Fordata,,,,ford1242,,
BorguFulfulde,Borgu Fulfulde,,,,borg1235,,
Pular,Pular,,,,pula1262,,
WesternNigerFulfulde,Western Niger Fulfulde,,,,west2454,,
WesternNigerFulfulde-Burkina,Western Niger Fulfulde,,,,west2454,,
HausaStatesFulfulde,Hausa States Fulfulde,,,,nige1253,,
Alekano,Alekano,,,,alek1238,,
Borei,Borei,,,,bore1247,,
Kandawo,Kandawo,,,,kand1303,,
Gata,Gata',,,,gata1239,,
Nobonob,Nobonob,,,,nobo1238,,
WestCentralOromo,West Central Oromo,,,,west2721,,
Gude,Gude,,,,gude1246,,
Gadang,Ga'dang,,,,gada1258,,
Umanakaina,Umanakaina,,,,uman1240,,
Wipi,Wipi,,,,wipi1242,,
Kire,Kire,,,,kire1240,,
Patpatar,Patpatar,,,,patp1243,,
Patpatar-Hinsaal,Patpatar,,,,patp1243,,
Patpatar-Sokarek,Patpatar,,,,patp1243,,
GuhuSamane,Guhu-Samane,,,,guhu1244,,
Kitja,Kitja,,,,kitj1240,,
Gilaki,Gilaki,,,,gila1241,,
Gamo,Gamo,,,,gamo1243,,
Ngangam,Ngangam,,,,ngan1299,,
Gumatj,Gumatj,,,,guma1253,,
WesternBolivianGuarani,Western Bolivian Guaraní,,,,west2640,,
Gofa,Gofa,,,,gofa1235,,
Gor,Gor,,,,gorr1238,,
IonicAtticAncientGreek-Koine,Ionic-Attic Ancient Greek,,,,anci1242,,
IonicAtticAncientGreek-Ancient,Ionic-Attic Ancient Greek,,,,anci1242,,
IonicAtticAncientGreek,Ionic-Attic Ancient Greek,,,,anci1242,,
Ghari,Ghari,,,,ghar1239,,
Guajajara,Guajajára,,,,guaj1255,,
Wayuu,Wayuu,,,,wayu1243,,
Gurindji,Gurindji,,,,guri1247,,
Sikuani,Sikuani,,,,guah1255,,
EasternBolivianGuarani,Eastern Bolivian Guaraní,,,,east2555,,
Gujarati,Gujarati,,,,guja1252,,
SeaIslandCreoleEnglish,Sea Island Creole English,,,,gull1241,,
Guambiano,Guambiano,,,,guam1248,,
MbyaGuarani,Mbyá Guaraní,,,,mbya1239,,
Guayabero,Guayabero,,,,guay1257,,
BininjKunWok,Bininj Kun-Wok,,,,gunw1252,,
BininjKunWok-Mayali,Bininj Kun-Wok,,,,gunw1252,,
Gourmanchema-Central,Gourmanchéma,,,,gour1243,,
Gourmanchema-Gormantche,Gourmanchéma,,,,gour1243,,
Kotiria,Kotiria,,,,guan1269,,
Golin,Golin,,,,goli1247,,
KukuYalanji,Kuku-Yalanji,,,,kuku1273,,
Gurung,Gurung,,,,guru1261,,
Gumawana,Gumawana,,,,guma1254,,
Gwichin,Gwich'in,,,,gwic1235,,
Gwere,Gwere,,,,gwer1238,,
Ngabere,Ngäbere,,,,ngab1239,,
Guarayu,Guarayu,,,,guar1292,,
Haitian,Haitian,,,,hait1244,,
Hausa,Hausa,,,,haus1257,,
Hawaiian,Hawaiian,,,,hawa1245,,
AncientHebrew-BiblicalAncient,Ancient Hebrew,,,,anci1244,,
Huichol,Huichol,,,,huic1243,,
ModernHebrew,Modern Hebrew,,,,hebr1245,,
ModernHebrew-Modern,Modern Hebrew,,,,hebr1245,,
Helong,Helong,,,,helo1243,,
Hindi,Hindi,,,,hind1269,,
Hixkaryana,Hixkaryána,,,,hixk1239,,
Halia,Halia,,,,hali1244,,
NgaLa,Nga La,,,,ngal1291,,
NgaLa-Tuivang,Nga La,,,,ngal1291,,
HiriMotu,Hiri Motu,,,,hiri1237,,
CaribbeanHindustani,Caribbean Hindustani,,,,cari1275,,
Hopi,Hopi,,,,hopi1249,,
Hote,Hote,,,,hote1245,,
Holiya,Holiya,,,,holi1239,,
Hre,Hre,,,,hree1244,,
CroatianStandard,Croatian Standard,,,,croa1245,,
MinicaHuitoto,Minica Huitoto,,,,mini1256,,
Huambisa,Huambisa,,,,huam1247,,
Huli,Huli,,,,huli1244,,
Hungarian,Hungarian,,,,hung1274,,
Huastec,Huastec,,,,huas1242,,
MuruiHuitoto,Murui Huitoto,,,,muru1274,,
SanMateodelMarHuave,San Mateo del Mar Huave,,,,sanm1287,,
Hawu,Hawu,,,,sabu1255,,
HawaiiCreoleEnglish,Hawai'i Creole English,,,,hawa1247,,
Iatmul,Iatmul,,,,iatm1242,,
Ibaloi,Ibaloi,,,,ibal1244,,
Igbo,Igbo,,,,nucl1417,,
AmganadIfugao,Amganad Ifugao,,,,amga1235,,
BatadIfugao,Batad Ifugao,,,,bata1298,,
TuwaliIfugao,Tuwali Ifugao,,,,tuwa1243,,
MayoyaoIfugao,Mayoyao Ifugao,,,,mayo1262,,
KeleyiKallahan,Keley-i Kallahan,,,,kele1259,,
Ignaciano,Ignaciano,,,,igna1246,,
Ika,Ika,,,,ikaa1238,,
Ikwere,Ikwere,,,,ikwe1242,,
Iloko,Iloko,,,,ilok1237,,
Imbongu,Imbongu,,,,imbo1238,,
ColombianInga,Colombian Inga,,,,inga1252,,
StandardIndonesian,Standard Indonesian,,,,indo1316,,
InokeYate,Inoke-Yate,,,,inok1238,,
TumaIrumu,Tuma-Irumu,,,,tuma1250,,
Ipili,Ipili,,,,ipil1240,,
Ikwo,Ikwo,,,,ikwo1238,,
Isnag,Isnag,,,,isna1241,,
Icelandic,Icelandic,,,,icel1247,,
Isanzu,Isanzu,,,,isan1243,,
Italian,Italian,,,,ital1282,,
Ibatan,Ibatan,,,,ibat1238,,
Itbayat,Itbayat,,,,ivat1242,,
SepikIwam,Sepik Iwam,,,,sepi1255,,
Ixil-Cotzal,Ixil,,,,ixil1251,,
Ixil-Nebaj,Ixil,,,,ixil1251,,
Izi,Izi,,,,izii1239,,
Madi,Madi,,,,jama1261,,
Popti,Popti',,,,popt1235,,
Yabem,Yabem,,,,yabe1254,,
Yanyuwa,Yanyuwa,,,,yany1243,,
Jibu,Jibu,,,,jibu1239,,
Tol,Tol,,,,toll1241,,
Bu,Bu,,,,buuu1244,,
Shuar,Shuar,,,,shua1257,,
Janji,Janji,,,,janj1240,,
Japanese,Japanese,,,,nucl1643,,
Juray,Juray,,,,jura1242,,
CaribbeanJavanese,Caribbean Javanese,,,,cari1276,,
Kannada,Kannada,,,,nucl1305,,
Capanahua,Capanahua,,,,capa1241,,
Kadiweu,Kadiwéu,,,,kadi1248,,
Camsa,Camsá,,,,cams1241,,
Iwal,Iwal,,,,iwal1237,,
Keliko,Keliko,,,,keli1248,,
Kamano,Kamano,,,,kama1370,,
MangaKanuri,Manga Kanuri,,,,mang1399,,
KazymBerezoverSuryskarerKhanty,Kazym-Berezover-Suryskarer Khanty,,,,khan1273,,
Kutu,Kutu,,,,kutu1263,,
Makonde,Makonde,,,,mako1251,,
Tem,Tem,,,,temm1241,,
Tsikimba,Tsikimba,,,,tsik1238,,
Kekchi,Kekchí,,,,kekc1242,,
Kenyang,Kenyang,,,,keny1279,,
WestKewa,West Kewa,,,,west2599,,
Kupia,Kupia,,,,kupi1238,,
KondaDora,Konda-Dora,,,,kond1295,,
KharamNaga,Kharam Naga,,,,khar1288,,
KulungtfuYuanggengTobo,Kulungtfu-Yuanggeng-Tobo,,,,kube1244,,
Kaiwa,Kaiwá,,,,kaiw1246,,
Kaingang,Kaingang,,,,kain1272,,
Kasua,Kasua,,,,kasu1251,,
Keapara-Kalo,Keapara,,,,keap1239,,
Kilivila,Kilivila,,,,kili1267,,
Kikuyu,Kikuyu,,,,kiku1240,,
NortheastKiwai-Kope,Northeast Kiwai,,,,nort2930,,
Kisi,Kisi,,,,kisi1243,,
Kisar,Kisar,,,,kisa1266,,
WesternParbateKham,Western Parbate Kham,,,,west2420,,
Kunjen-Oykangand,Kunjen,,,,kunj1245,,
EastKewa,East Kewa,,,,east2516,,
Odoodee,Odoodee,,,,odoo1238,,
Kako,Kako,,,,kako1242,,
KosarekYale,Kosarek Yale,,,,kosa1249,,
GuuguYimidhirr,Guugu Yimidhirr,,,,gugu1255,,
YuwaalaraayGamilaraay,Yuwaalaraay-Gamilaraay,,,,gami1243,,
Nukna,Nukna,,,,nukn1238,,
Maskelynes,Maskelynes,,,,mask1242,,
Konni,Konni,,,,konn1242,,
Kate,Kâte,,,,kate1253,,
Kalam,Kalam,,,,kala1397,,
Kalam-central,Kalam,,,,kala1397,,
LimosKalinga,Limos Kalinga,,,,limo1248,,
Kwoma-KwomaorWashkuk,Kwoma,,,,kwom1262,,
Kamasau,Kamasau,,,,kama1367,,
Kanite,Kanite,,,,kani1286,,
LubuaganKalinga,Lubuagan Kalinga,,,,lubu1243,,
Kankanaey,Kankanaey,,,,kank1243,,
Mankanya,Mankanya,,,,mank1251,,
Akateko,Akateko,,,,west2635,,
Tabo-AramiaRiver,Tabo,,,,tabo1241,,
Cogui,Cogui,,,,cogu1240,,
Kosraean,Kosraean,,,,kosr1238,,
Komba,Komba,,,,komb1273,,
Kapingamarangi,Kapingamarangi,,,,kapi1249,,
Karaja,Karajá,,,,kara1500,,
KorafeYegha-Yegha,Korafe-Yegha,,,,kora1294,,
Kobon,Kobon,,,,kobo1249,,
MountainKoiali,Mountain Koiali,,,,moun1252,,
Mum,Mum,,,,mumm1238,,
DoromuKoki,Doromu-Koki,,,,doro1266,,
Kalagan-Eastern,Kalagan,,,,kala1388,,
Kalagan,Kalagan,,,,kala1388,,
Kakabai,Kakabai,,,,kaka1267,,
Kyenele,Kyenele,,,,kyen1243,,
Kimre,Kimre,,,,kimr1241,,
Kandas,Kandas,,,,kand1301,,
Kinaraya,Kinaray-a,,,,kina1250,,
Karon,Karon,,,,karo1294,,
Bangad,Bangad,,,,sout2908,,
Kuanua,Kuanua,,,,kuan1248,,
Uare,Uare,,,,uare1241,,
Kaba,Kaba,,,,kaba1281,,
Borong,Borong,,,,boro1279,,
PlapoKrumen,Plapo Krumen,,,,plap1239,,
Kurti,Kurti,,,,kurt1250,,
Kuot,Kuot,,,,kuot1243,,
Auhelawa,'Auhelawa,,,,auhe1237,,
Kuman,Kuman,,,,kuma1280,,
Kunimaipa,Kunimaipa,,,,kuni1267,,
Kusaal,Kusaal,,,,kusa1250,,
Kukatja,Kukatja,,,,kuka1246,,
KuniBoazi-Kuni,Kuni-Boazi,,,,kuni1265,,
BorderKuna,Border Kuna,,,,bord1248,,
Kwaio,Kwaio,,,,kwai1243,,
Kwaraae,Kwara'ae,,,,kwar1239,,
